id,dialogueText,choice1,choice2,choice3,choice4,Speaker,TimeLimit
334,Awe you hewe to continyue the wowk of Mawx as weww?,Yes,Absolutely,Of course,Does the capitalist oink?,Renin,13
335,Hahaha thats gweatCOMMA have you gotten anyonye wiwwing to wowk with you ,Moderate supportCOMMA but nobody well dedicated to the cause,Moderate supportCOMMA but nobody well dedicated to the cause,Moderate supportCOMMA but nobody well dedicated to the cause,Moderate supportCOMMA but nobody well dedicated to the cause,Renin,19
336,Have you gotten anyonye wiwwing to wowk with you?,Moderate supportCOMMA but nobody well dedicated to the cause,Moderate supportCOMMA but nobody well dedicated to the cause,Moderate supportCOMMA but nobody well dedicated to the cause,Moderate supportCOMMA but nobody well dedicated to the cause,Renin,19
337,HahahaCOMMA Thats my giww!,Thanks,Thanks,Thanks,Thanks,Renin,8
338,SoCOMMA what's youw pwan?,We win the electionCOMMA then trancend into socialism,Get supportCOMMA get electedCOMMA get communism,Majority support is needed for a succesful revolutionCOMMA once we have thatCOMMA we seize power,Broker support until we have enough people willing to fightCOMMA then immediately seize power,Renin,25
339,Nyow you seeCOMMA that's whewe you'we wwong kiddo. The wevowution nyeeds to happen the vewy second it can. Communyism has to happen immediatewy,Does it really though?,Is that truely possible?,Are you sure about that?,For realzies?,Renin,10
340,I compwetewy agweeCOMMA I'm so gwad we feew the same on that,Great,Awesome,Coolio,Neat,Renin,8
341,AwwwCOMMA you speak wike wittwe kitten,You know what I meant to say,I'm all grown up Oneesan,Meow,Nyan,Renin,30
342,AwwwCOMMA you speak wike wittwe kitten,You know what I meant to say,I'm all grown up Oneesan,Meow,Nyan,Renin,30
343,AwwwCOMMA you speak wike wittwe kitten,You know what I meant to say,I'm all grown up Oneesan,Meow,Nyan,Renin,30
344,AwwwCOMMA you speak wike wittwe kitten,You know what I meant to say,I'm all grown up Oneesan,Meow,Nyan,Renin,30
345,AwwwCOMMA you speak wike wittwe kitten,You know what I meant to say,I'm all grown up Oneesan,Meow,Nyan,Renin,30
346,AwwwCOMMA you speak wike wittwe kitten,You know what I meant to say,I'm all grown up Oneesan,Meow,Nyan,Renin,30
347,AwwwCOMMA you speak wike wittwe kitten,You know what I meant to say,I'm all grown up Oneesan,Meow,Nyan,Renin,30
348,AwwwCOMMA you speak wike wittwe kitten,You know what I meant to say,I'm all grown up Oneesan,Meow,Nyan,Renin,30
349,AwwwCOMMA you speak wike wittwe kitten,You know what I meant to say,I'm all grown up Oneesan,Meow,Nyan,Renin,30
350,AwwwCOMMA you speak wike wittwe kitten,You know what I meant to say,I'm all grown up Oneesan,Meow,Nyan,Renin,30
351,AwwwCOMMA you speak wike wittwe kitten,You know what I meant to say,I'm all grown up Oneesan,Meow,Nyan,Renin,30
352,Nyow you seeCOMMA that's whewe you'we wwong kiddo. The wevowution nyeeds to happen the vewy second it can. Communyism has to happen immediatewy,Does it really though?,Is that truely possible?,Are you sure about that?,For realzies?,Renin,10
353,Nyow you seeCOMMA that's whewe you'we wwong kiddo. The wevowution nyeeds to happen the vewy second it can. Communyism has to happen immediatewy,Does it really though?,Is that truely possible?,Are you sure about that?,For realzies?,Renin,10
354,That ewection shiznyick is whack! And nyot going wight into communyism? This is wevisionyism at it's highest! We can impwement it quickwy without the wasted time,That would leave too many people who think in bourgeois ways rebellious,Sometimes you need to change what came first in order to make it work,If you don't like it we can always work out a compromise,You have a point...,Renin,
355,Even the most democwatic wepubwic is simpwy a machinye fow supwession of onye cwass by anyothew,Communism is simply not achievable unless all involved truely believe,If the people are not readyCOMMA then we should not rush the incomplete product,If you don't like it we can always work out a compromise,You have a point...,Renin,
356,The wongew we wait aftew we have the sowdiews of the wevowutionCOMMA the wongew it gives the bouwgeoise to pwepawe,Without the people behind youCOMMA you are simply replacing one tyrant with another,A revolution FOR the people should be LEAD by the people no?,If you don't like it we can always work out a compromise,You have a point...,Renin,
357,Thats whewe you can just wemuv the bouwgeois thought by fowceCOMMA and hewp the peopwe quickew,What happens if they need time to conformCOMMA and you make counter-revolutionaries sprout from where they need not be?,A waste of soldiers of the revolutionCOMMA what about the real threats beyond our dorms?,The quick and easy route can seem temptingCOMMA but if you stick with the one that needs dedication and careCOMMA you will get more out of it,Makes sense...,Renin,
358,Whewe did the Twotsuki that hewped us wemuv the wevisionyists of yestewyeaw go?,She learnedCOMMA and changed what she considered revisionism,I have decided on greater targets for nowCOMMA that will help the people more,Don't dwell too much on the pastCOMMA people can change,...,Renin,
359,AwwightCOMMA what do you pwopose then?,After winning the election we shift striaght into communism,We revolt but we transition slower into communism and take our time to make things work,As the ones in power we impliment some more radical reforms during the socialism transition,,Renin,
360,GweatCOMMA I'm gwad I couwd make you see the wight,You do make sense,,,,Renin,
361,Once the wowkews see what we can do fow themCOMMA they wiww be made to bewieve,,,,,Renin,
362,If the peopwe awe nyot weady then we can make them weady,,,,,Renin,
363,AwwightCOMMA what do you pwopose then?,,,,,Renin,
364,GweatCOMMA I'm gwad I couwd make you see the wight,,,,,Renin,
365,At the end of the dayCOMMA we have a nyobwe enyough end to justify the means,,,,,Renin,
366,It will be lead by the peopleCOMMA just not all of them,,,,,Renin,
367,AwwightCOMMA what do you pwopose then?,,,,,Renin,
368,GweatCOMMA I'm gwad I couwd make you see the wight,,,,,Renin,
369,Weww I'm gwad we got that sowted outCOMMA so how about we fowmawize this joinying of gwoups we've donye hewe?,,,,,Renin,
370,Yahallo Trotsuki.~,YahalloCOMMA Kerensuki~,Who are you again?,No,I have no time for counter-revolutionary swine,Kerensuki,15
371,Are you sure? I've heard that communism is dangerousCOMMA and that if you meet them they sacrifice you to Satan,Dangerous to those who exploit the people,Communism is the truest path of salvation for the people,NoCOMMA that would be The Duma,More lies from those who oppress the common folk,Stepnya,15
372,Ummm... Pardon me I seem to have misheard what you just saidCOMMA would you mind repeating it for me?,Communism is the best,Nothing beats communism,Great things come from communism,You get good things from communism,Stepnya,30
373,Really? Wow communism really helps the ordinary person? What other lies have I been told...,That Nico's a functional president,That the Duma represents what the people want,That capitalism creates a working system,You get more out of life the more work you put in,Stepnya,17
374,Really? Wow the Duma is really that evil? What other lies have I been told...,That Nico's a functional president,That the Duma represents what the people want,That capitalism creates a working system,You get more out of life the more work you put in,Stepnya,17
375,Ummm... Pardon me I seem to have misheard what you just saidCOMMA would you mind repeating it for me?,Communism goodCOMMA help peopleCOMMA justice against the bourgeoisie,Communism goodCOMMA help peopleCOMMA justice against the bourgeoisie,Communism goodCOMMA help peopleCOMMA justice against the bourgeoisie,Communism goodCOMMA help peopleCOMMA justice against the bourgeoisie,Stepnya,30
376,Ummm... Pardon me I seem to have misheard what you just saidCOMMA would you mind repeating it for me?,Duma badCOMMA tell liesCOMMA oppress the people,Duma badCOMMA tell liesCOMMA oppress the people,Duma badCOMMA tell liesCOMMA oppress the people,Duma badCOMMA tell liesCOMMA oppress the people,Stepnya,25
377,HuhCOMMA you should tell more people about this. Who else knows the truth?,There's a couple peopleCOMMA we meet up every once in a while,We have a few peopleCOMMA you should join usCOMMA we'd love to have you,I just got back to this school a week agoCOMMA so I've only networked a few people,Soon enough a group of us will let the world know,Stepnya,25
378,Please! Allow me to join youCOMMA and spread the true belief,We would love to ha...,Absol...,You look like a goo...,That would be deligh...,Stepnya,15
379,Ummm... Pardon me I seem to have misheard what you just saidCOMMA would you mind repeating it for me?,Small groupCOMMA we'll spread communismCOMMA you should join us,Small groupCOMMA we'll spread communismCOMMA you should join us,Small groupCOMMA we'll spread communismCOMMA you should join us,Small groupCOMMA we'll spread communismCOMMA you should join us,Stepnya,35
380,TROOOTSUUUKIII,Shiitake mushrooms it's her...,Dang it! It's her...,Crud! It's her...,Fudge! It's her...,Kerensuki,12
381,Her? Wait is that Ker...,YeahCOMMA she's tried to talk to me a bunch of times since I got back,UnfortunatelyCOMMA the bourgeoisie seem to have an intrest in me,Looks like her popularity hasn't slowed down her drive to stomp out our hopes and dreams,That's rightCOMMA and it looks like she's trying to get me to talk again,Stepnya,20
382,Really? Wow,I would get out of here quickly before she notices you as one of us,I would get out of here quickly before she notices you as one of us,I would get out of here quickly before she notices you as one of us,I would get out of here quickly before she notices you as one of us,Stepnya,20
383,But... Doesn't she...,I would get out of here quickly before she notices you as one of us,I would get out of here quickly before she notices you as one of us,I would get out of here quickly before she notices you as one of us,I would get out of here quickly before she notices you as one of us,Stepnya,20
384,OhCOMMA ok I'll see you later then I guess,I'll tell you where to meet us later,Let you know where to meet you tomorrow,We'll let you know the group location later,You'll get told where to go later,Stepnya,15
385,Um... Really? Wow,I would get out of here quickly before she notices you as one of us,I would get out of here quickly before she notices you as one of us,I would get out of here quickly before she notices you as one of us,I would get out of here quickly before she notices you as one of us,Stepnya,20
386,Um... But... Doesn't she...,I would get out of here quickly before she notices you as one of us,I would get out of here quickly before she notices you as one of us,I would get out of here quickly before she notices you as one of us,I would get out of here quickly before she notices you as one of us,Stepnya,20
387,*scuttles away*,...,...,...,...,Stepnya,7
388,...,...,...,...,...,Narrator,7
389,Ummm... Pardon me I seem to have misheard what you just saidCOMMA would you mind repeating it for me?,CapitalismCOMMA the DumaCOMMA and Nico are bad,CapitalismCOMMA the DumaCOMMA and Nico are bad,CapitalismCOMMA the DumaCOMMA and Nico are bad,CapitalismCOMMA the DumaCOMMA and Nico are bad,Stepnya,16
390,OkCOMMA so there are some bad applesCOMMA but that doesn't mean capitalism as a whole doesn't work right?,Capitalism is at it's rootCOMMA a dying ideology,The breakdown of the society is due to the inherent flaws in a capitalist system,A system where the fruits of a workers labour are stolen and locked in an idle man's coffers is not a fair one,It encourages bad blood between neighborsCOMMA it's one of the big reasons for the current mess of grudges,Stepnya,27
391,Ummm... Pardon me I seem to have misheard what you just saidCOMMA would you mind repeating it for me?,Capitalism is the worst possible thing ever,Capitalism is the worst possible thing ever,Capitalism is the worst possible thing ever,Capitalism is the worst possible thing ever,Stepnya,30
392,,,,,,,
393,,,,,,,
394,,,,,,,
395,,,,,,,
396,,,,,,,
397,,,,,,,
398,,,,,,,
399,,,,,,,
400,,,,,,,
401,,,,,,,
402,,,,,,,
403,,,,,,,
404,,,,,,,
405,,,,,,,
406,,,,,,,
407,,,,,,,
408,,,,,,,
409,,,,,,,
410,,,,,,,
411,,,,,,,
412,,,,,,,
413,,,,,,,
414,,,,,,,
415,,,,,,,
416,,,,,,,
417,,,,,,,
418,,,,,,,
419,,,,,,,
420,,,,,,,
421,,,,,,,
422,,,,,,,
423,,,,,,,
424,,,,,,,
425,,,,,,,
426,,,,,,,
427,,,,,,,
428,,,,,,,
429,,,,,,,
430,,,,,,,
431,,,,,,,
432,,,,,,,
433,,,,,,,
434,,,,,,,
435,,,,,,,
436,,,,,,,
437,,,,,,,
438,,,,,,,
439,,,,,,,
440,,,,,,,
441,,,,,,,
442,,,,,,,
443,,,,,,,
444,,,,,,,
445,,,,,,,
446,,,,,,,
447,,,,,,,
448,,,,,,,
449,,,,,,,
450,,,,,,,
451,,,,,,,
452,,,,,,,
453,,,,,,,
454,,,,,,,
455,,,,,,,
456,,,,,,,
457,,,,,,,
458,,,,,,,
459,,,,,,,
460,,,,,,,
461,,,,,,,
462,,,,,,,
463,,,,,,,
464,,,,,,,
465,,,,,,,
466,,,,,,,
467,,,,,,,
468,,,,,,,
469,,,,,,,
470,,,,,,,
471,,,,,,,
472,,,,,,,
473,,,,,,,
474,,,,,,,
475,,,,,,,
476,,,,,,,
477,,,,,,,
478,,,,,,,
479,,,,,,,
480,,,,,,,
481,,,,,,,
482,,,,,,,
483,,,,,,,
484,,,,,,,
485,,,,,,,
486,,,,,,,
487,,,,,,,
488,,,,,,,
489,,,,,,,
490,,,,,,,
491,,,,,,,
492,,,,,,,
493,,,,,,,
494,,,,,,,
495,,,,,,,
496,,,,,,,
497,,,,,,,
498,,,,,,,
499,,,,,,,
500,,,,,,,
